Order,Family,Species,Scientific_Name,massM,SDmassM,massF,SDmassF,lengthM,SDlengthM,lengthF,SDlengthF,n_M,n_F,n_Mlength,n_Flength,Comments,Source
Chiroptera,Phyllostomidae,Seba's short-tailed bat,Carollia perspicillata,16.40314012,2.725766364,16.48770687,2.724943964,4.053,0.17,4.067,0.172,2605,2852,2420,2610,,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Chiroptera,Phyllostomidae,Seba's short-tailed bat,Carollia perspicillata,16.92631579,2.627659571,16.57763975,2.961502472,NA,NA,NA,NA,190,161,NA,NA,,"Ocampo, D. et al. Body mass data set for 1,317 bird and 270 mammal species from Colombia. Ecology 102, (2021)."
Chiroptera,Phyllostomidae,Gray short-tailed bat,Carollia subrufa,14.3,1.2,14.3,1.5,NA,NA,NA,NA,3,3,NA,NA,,"Akins, J. B. et al. Flight speeds of three species of Neotropical bats: Glossophaga soricina, Natalus stramineus, and Carollia subrufa. Acta Chiropterologica 9, 477–482 (2007)."
Chiroptera,Phyllostomidae,Brazilian big-eyed bat,Chiroderma doriae,31.7030303,4.936855961,34.82529412,4.996622032,5.173,0.161,5.241,0.159,33,34,33,33,,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Chiroptera,Phyllostomidae,Hairy big-eyed bat,Chiroderma villosum,24.15666667,2.531105315,27.85666667,5.783594836,4.711,0.156,4.864,0.18,18,27,16,26,,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Chiroptera,Phyllostomidae,Big-eared woolly bat,Chrotopterus auritus,89.7275,10.15230436,94.38153846,15.47613531,8.43,0.678,8.666,0.689,32,13,32,13,,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Chiroptera,Phyllostomidae,Common vampire bat,Desmodus rotundus,36.27932692,4.897155393,43.37795276,7.311307978,6.067,0.253,6.374,0.333,208,127,195,121,,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Chiroptera,Phyllostomidae,Hairy-legged vampire bat,Diphylla ecaudata,27.66666667,2.081665999,31.4,6.542170894,5.127,0.289,5.246,0.203,3,5,3,5,,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Chiroptera,Phyllostomidae,Striped hair-nosed bat,Gardnerycteris crenulatum,14,1.272418021,13.3,1.33749351,NA,NA,NA,NA,22,10,NA,NA,,"Ocampo, D. et al. Body mass data set for 1,317 bird and 270 mammal species from Colombia. Ecology 102, (2021)."
Chiroptera,Phyllostomidae,Striped hair-nosed bat,Gardnerycteris crenulatum,17.25,3.039097088,17.25,1.58113883,5.092,0.154,5.193,0.0997,10,8,9,7,,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Chiroptera,Phyllostomidae,Gardnerycteris keenani,Gardnerycteris keenani,15,1,15,1.414213562,NA,NA,NA,NA,3,8,NA,NA,,"Ocampo, D. et al. Body mass data set for 1,317 bird and 270 mammal species from Colombia. Ecology 102, (2021)."
Chiroptera,Phyllostomidae,Pallas's long-tongued bat,Glossophaga soricina,10.04745223,2.10309597,10.56574924,3.003881125,3.564,0.173,3.613,0.176,314,327,306,322,,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Chiroptera,Phyllostomidae,Hsunycteris thomasi,Hsunycteris thomasi,6.666666667,2.291287847,6.166666667,1.169045194,NA,NA,NA,NA,9,6,NA,NA,,"Ocampo, D. et al. Body mass data set for 1,317 bird and 270 mammal species from Colombia. Ecology 102, (2021)."
Chiroptera,Phyllostomidae,Goldman's nectar bat,Lonchophylla mordax,8.071428571,1.017700489,8.375,0.478713554,3.396,0.075,3.43,0.078,7,4,7,4,,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Chiroptera,Phyllostomidae,Lonchophylla robusta,Lonchophylla robusta,14.69230769,2.839736355,13.22727273,2.759085739,NA,NA,NA,NA,13,22,NA,NA,,"Ocampo, D. et al. Body mass data set for 1,317 bird and 270 mammal species from Colombia. Ecology 102, (2021)."
Chiroptera,Phyllostomidae,Tomes's sword-nosed bat,Lonchorhina aurita,16.80142857,3.237942756,17.95779221,2.664151205,5.048,0.16,5.127,0.201,70,77,69,77,,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Chiroptera,Phyllostomidae,Pygmy round-eared bat,Lophostoma brasiliense,12.96,1.654776636,14,3.060501048,3.9,0.157,3.866,0.224,15,16,15,16,,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Chiroptera,Phyllostomidae,White-throated round-eared bat,Lophostoma silvicolum,31.9,4.314904402,29.8,3.171781834,5.27,0.125419297,5.21,0.140968081,136,138,130,138,Converted SE to SD using SE=SD/sqrt(N),"Dechmann, D. K. N., Kalko, E. K. V., König, B. & Kerth, G. Mating system of a neotropical roost-making bat: The white-throated, round-eared bat, Lophostoma silvicolum (Chiroptera: Phyllostomidae). Behav. Ecol. Sociobiol. 58, 316–325 (2005)."
Chiroptera,Phyllostomidae,White-throated round-eared bat,Lophostoma silvicolum,34.14285714,3.532165126,28,2.34520788,5.53,0.192,5.537,0.185,7,5,7,5,,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Chiroptera,Phyllostomidae,Hairy big-eared bat,Micronycteris hirsuta,11.5,4.092676386,13.1,1.516575089,NA,NA,NA,NA,3,5,NA,NA,,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Chiroptera,Phyllostomidae,Little big-eared bat,Micronycteris megalotis,6.8,1.303840481,7,1.279204298,3.328,0.0652,3.459,0.06,5,12,5,12,,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Chiroptera,Phyllostomidae,Common big-eared bat,Micronycteris microtis,7.333333333,1.211060142,7.25,1.060660172,NA,NA,NA,NA,6,2,NA,NA,,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Chiroptera,Phyllostomidae,Golden bat,Mimon bennettii,23.71428571,2.799872446,24.67857143,3.073504282,5.407,0.127,5.438,0.165,21,14,21,14,,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Chiroptera,Phyllostomidae,Pale-faced bat,Phylloderma stenops,73.41666667,10.85549016,63.5,2.121320344,7.684,0.338,7.86,0.0566,6,2,5,2,,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Chiroptera,Phyllostomidae,Pale spear-nosed bat,Phyllostomus discolor,38.23280423,3.764162345,37.04081633,4.208461239,6.158,0.182,6.139,0.188,189,196,174,165,,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Chiroptera,Phyllostomidae,Greater spear-nosed bat,Phyllostomus hastatus,105.7083333,12.19935553,96.86666667,15.92004169,8.918,0.243,8.717,0.32,24,45,23,38,,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Chiroptera,Phyllostomidae,Platyrrhinus albericoi,Platyrrhinus albericoi,53.57142857,2.935821456,54.16666667,8.375650133,NA,NA,NA,NA,7,12,NA,NA,,"Ocampo, D. et al. Body mass data set for 1,317 bird and 270 mammal species from Colombia. Ecology 102, (2021)."
Chiroptera,Phyllostomidae,Platyrrhinus dorsalis,Platyrrhinus dorsalis,28.75,3.390307663,29.24137931,4.501231359,NA,NA,NA,NA,44,29,NA,NA,,"Ocampo, D. et al. Body mass data set for 1,317 bird and 270 mammal species from Colombia. Ecology 102, (2021)."
Chiroptera,Phyllostomidae,Leaf-nosed bat,Platyrrhinus incarum,14.75,1.258305739,15.66666667,0.577350269,3.895,0.122,3.9,0.14,4,3,4,3,,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Chiroptera,Phyllostomidae,Platyrrhinus ismaeli,Platyrrhinus ismaeli,27.5,9.574271078,33,5.830951895,NA,NA,NA,NA,4,5,NA,NA,,"Ocampo, D. et al. Body mass data set for 1,317 bird and 270 mammal species from Colombia. Ecology 102, (2021)."
Chiroptera,Phyllostomidae,White-lined broad-nosed bat,Platyrrhinus lineatus,23.25991561,4.952917818,25.32599278,4.836998055,4.681,0.257,4.762,0.267,237,277,232,269,,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Chiroptera,Phyllostomidae,Recife broad-nosed bat,Platyrrhinus recifinus,19.43589744,2.585840714,22.51702128,3.255518335,4.279,0.224,4.386,0.241,39,47,36,46,,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Chiroptera,Phyllostomidae,Ipanema bat,Pygoderma bilabiatum,18.84615385,1.927533298,22.78125,3.230243924,3.767,0.149,4.023,0.0763,26,32,25,31,,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Chiroptera,Phyllostomidae,Dwarf little fruit bat,Rhinophylla pumilio,9.064285714,1.266916305,10.034,1.503166335,3.314,0.108,3.37,0.106,196,300,194,297,,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Chiroptera,Phyllostomidae,Sturnira bakeri,Sturnira bakeri,18.11111111,1.615893286,16.11111111,1.900292375,NA,NA,NA,NA,9,9,NA,NA,,"Ocampo, D. et al. Body mass data set for 1,317 bird and 270 mammal species from Colombia. Ecology 102, (2021)."
Chiroptera,Phyllostomidae,Little yellow-shouldered bat,Sturnira lilium,21.80513023,2.99890502,21.17789609,3.265246228,4.279,0.144,4.249,0.138,1267,1559,1195,1459,,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Chiroptera,Phyllostomidae,Sturnira parvidens,Sturnira parvidens,18.96428571,3.327310968,17.25490196,3.340973578,NA,NA,NA,NA,84,102,NA,NA,,"Ocampo, D. et al. Body mass data set for 1,317 bird and 270 mammal species from Colombia. Ecology 102, (2021)."
Chiroptera,Phyllostomidae,Tilda's yellow-shouldered bat,Sturnira tildae,24.13333333,3.234628342,23.49777778,3.134511692,4.568,0.176,4.582,0.172,105,90,105,89,,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Chiroptera,Phyllostomidae,Greater round-eared bat,Tonatia bidens,31.2,2.48997992,28.15833333,2.632129568,5.461,0.0527,5.373,0.0998,5,12,5,12,,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Chiroptera,Phyllostomidae,Tonatia saurophila,Tonatia saurophila,24.92857143,3.771640853,26.5,4.9272485,NA,NA,NA,NA,14,10,NA,NA,,"Ocampo, D. et al. Body mass data set for 1,317 bird and 270 mammal species from Colombia. Ecology 102, (2021)."
Chiroptera,Phyllostomidae,Fringe-lipped bat,Trachops cirrhosus,33.75138889,5.552213022,37.10441176,8.405953587,5.858,0.324,5.944,0.225,36,34,31,31,,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Chiroptera,Phyllostomidae,Niceforo's big-eared bat,Trinycteris nicefori,8.166666667,0.577350269,8.5,0.707106781,3.587,0.0833,3.58,0.0283,3,2,3,2,,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Chiroptera,Phyllostomidae,Tent-making bat,Uroderma bilobatum,17.80952381,2.517320949,19.03571429,3.093986316,4.211,0.0873,4.228,0.113,21,28,21,28,,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Chiroptera,Phyllostomidae,Uroderma convexum,Uroderma convexum,13.84444444,1.808509627,15.15625,2.477112979,NA,NA,NA,NA,45,32,NA,NA,,"Ocampo, D. et al. Body mass data set for 1,317 bird and 270 mammal species from Colombia. Ecology 102, (2021)."
Chiroptera,Phyllostomidae,Southern little yellow-eared bat,Vampyressa pusilla,10.75,3.09286105,11.41304348,2.259586516,3.438,0.2,3.479,0.285,20,23,18,23,,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Chiroptera,Pteropodidae,Mindanao pygmy fruit bat,Alionycteris paucidentata,15,1.2,15,0,4.6,0.18,4.8,0.12,12,2,16,8,"Only 2 of the captured females were not pregnant so these were the only females included here, each of which weighed 15.0g.","Bergallo, H. de G. Ecology of a small mammal community in an Atlantic Forest Area in Southeastern Brazil. Stud. Neotrop. Fauna Environ. 29, 197–217 (1994)."
Chiroptera,Pteropodidae,Spotted-winged fruit bat,Balionycteris maculata,13.3,0.8,13.5,1,4.09,0.07,4.19,0.11,25,54,NA,NA,Calculated from adult males and non-pregnant adult females. Sample sizes calculated from the total adult N of 78 and the male:female ratio of 1:2.15.,"Hodgkison, R., Balding, S. T., Akbar, Z. & Kunz, T. H. Roosting ecology and social organization of the spotted-winged fruit bat, Balionycteris maculata (Chiroptera: Pteropodidae), in a Malaysian lowland dipterocarp forest. J. Trop. Ecol. 19, 667–676 (2003)."
Chiroptera,Pteropodidae,Lesser short-nosed fruit bat,Cynopterus brachyotis,30.6,3.8,33.1,4,6.05,0.24,6.14,0.25,23,40,23,40,"Forearm length used for body length. Mentioned that late-stage pregnant females, distinguished by being >35g with fetuses detectable by abdminal palpation, were caught but did not specify whether these were included in the average weights and the number of C. brachyotis captured was 502, much more than the combined sample size for weights.","Funakoshi, K. & Akbar, Z. Behavioural and reproductive ecology of the dog-faced fruit bats, Cynopterus brachyotis and C. horsfieldi, in a Malaysian rainforest. Mammal Study 22, 95–108 (1997)."
Chiroptera,Pteropodidae,Lesser short-nosed fruit bat,Cynopterus brachyotis,32,2.6,37,5.7,63,2,64,1.7,7,4,6,7,"Included weights for only four adult females, which were all lactating, to exclude pregnant females. Forearm lengths used for body length.","Heaney, L. R., Tabaranza, B. R., Rickart, E. A., Balete, D. S. & Ingle, N. R. The mammals of Mt. Kitanglad Nature Park, Mindanao, Philippines. Fieldiana Zool. 112, 1–63 (2006)."
Chiroptera,Pteropodidae,Horsfield's fruit bat,Cynopterus horsfieldi,56.7,6.1,59.7,6.9,7.43,0.31,7.51,0.23,19,26,19,26,"Forearm length used for body length. Mentioned that late-stage pregnant females, distinguished by being >65g with fetuses detectable by abdminal palpation, were caught but did not specify whether these were included in the average weights and the number of C. horsfieldi captured was 155, much more than the combined sample size for weights.","Funakoshi, K. & Akbar, Z. Behavioural and reproductive ecology of the dog-faced fruit bats, Cynopterus brachyotis and C. horsfieldi, in a Malaysian rainforest. Mammal Study 22, 95–108 (1997)."
Chiroptera,Pteropodidae,Greater short-nosed fruit bat,Cynopterus sphinx,45.16,5.7,47.84,4.2,NA,NA,NA,NA,30,30,NA,NA,Bats were captured in the non-breeding seasons acorss three years.,"Nagarajan-Radha, V. & Devaraj, P. S. D. Sex differences in postprandial blood glucose and body surface temperature are contingent on flight in the fruit bat, Cynopterus sphinx. Biol. Open 10, (2021)."
Chiroptera,Pteropodidae,Straw-colored fruit bat,Eidolon helvum,232,24.8,213,25,NA,NA,NA,NA,30,30,NA,NA,,"Igado, O. O., Omobowale, T. O., Ajadi, R. A. & Nottidge, H. O. Craniofacial morphometrics and macro-neurometrics of the fruit bat (Eidolon helvum). Eur. J. Anat. 16, 172–176 (2012)."
Chiroptera,Pteropodidae,Cave nectar bat,Eonycteris spelaea,67.28571429,5.089672082,60.4,4.277849927,NA,NA,NA,NA,7,5,NA,NA,,"Acharya, P. R., Racey, P. A., Sotthibandhu, S. & Bumrungsri, S. Home-range and foraging areas of the dawn bat Eonycteris spelaea in agricultural areas of Thailand. Acta Chiropterologica 17, 307–319 (2015)."
Chiroptera,Pteropodidae,Fischer's pygmy fruit bat,Haplonycteris fischeri,19,1.3,18,0.7,4.8,0.16,5,0.14,11,10,11,9,"Forearm length used for body length. Female weight data are from early-stage pregnant primiparous females, with uniformly small embryos (CRL = 2.9 +/- 1mm, range 1.5-5mm). Weights for females in more advanced stages of pregnancy reported separately and excluded from the data here.","Heaney, L. R., Tabaranza, B. R., Rickart, E. A., Balete, D. S. & Ingle, N. R. The mammals of Mt. Kitanglad Nature Park, Mindanao, Philippines. Fieldiana Zool. 112, 1–63 (2006)."
Chiroptera,Pteropodidae,Harpy fruit bat,Harpyionycteris whiteheadi,110,7,105,0,8.6,0.29,8.5,0.28,9,2,6,6,"Forearm length used for body length. Used mass data from only non-pregnant adult females, of which there were only 2, each of which weighed 105g.","Heaney, L. R., Tabaranza, B. R., Rickart, E. A., Balete, D. S. & Ingle, N. R. The mammals of Mt. Kitanglad Nature Park, Mindanao, Philippines. Fieldiana Zool. 112, 1–63 (2006)."
Chiroptera,Pteropodidae,Salim Ali's fruit bat,Latidens salimalii,77.5,6.83,69.58,4.13,6.938,0.154,6.895,0.22,16,19,16,19,Forearm length used for body length.,"Agoramoorthy, G. & Hsu, M. J. Population size, feeding, forearm length and body weight of a less known Indian fruit bat, Latidens salimalii. Curr. Sci. 88, 354–356 (2005)."
Chiroptera,Pteropodidae,Eastern tube-nosed bat,Nyctimene robinsoni,53.66666667,3.008875759,51.225,2.499833328,NA,NA,NA,NA,3,4,NA,NA,Bats weighed upon capture in mist nets.,"Riek, A., Körtner, G. & Geiser, F. Thermobiology, energetics and activity patterns of the Eastern tube-nosed bat (Nyctimene robinsoni) in the Australian tropics: Effect of temperature and lunar cycle. J. Exp. Biol. 213, 2557–2564 (2010)."
Chiroptera,Pteropodidae,Christmas Island flying fox,Pteropus natalis,423.2666667,42.4036162,433.875,21.16221363,NA,NA,NA,NA,15,8,NA,NA,Calculated from raw data in supplementary materials.,"Todd, C. M. et al. Body-size dependent foraging strategies in the Christmas Island flying-fox: implications for seed and pollen dispersal within a threatened island ecosystem. Mov. Ecol. 10, 1–15 (2022)."
Chiroptera,Pteropodidae,Mauritian flying fox,Pteropus niger,630,96,617,76,NA,NA,NA,NA,6,6,NA,NA,Excluded females that were obviously pregnant or could have dependant young.,"Oleksy, R. Z. et al. The movement ecology of the Mauritian flying fox (Pteropus niger): A long-term study using solar-powered GSM/GPS tags. Mov. Ecol. 7, 1–12 (2019)."
Chiroptera,Pteropodidae,Gray-headed flying fox,Pteropus poliocephalus,842,11,675,9.7,16.5,0.04,16.2,0.05,87,73,87,73,"Body masses MAY include breeding season (collected February through July)! However, body mass curves show that males are always larger than females, although sexual size dimorphism is lowest in June.","Welbergen, J. A. Growth, bimaturation, and sexual size dimorphism in wild gray-headed flying foxes (Pteropus poliocephalus). J. Mammal. 91, 38–47 (2010)."
Chiroptera,Pteropodidae,Bonin flying fox,Pteropus pselaphon,570,17.3,445,42.4,14.3,0,13.5,0.28,3,2,NA,NA,,"Sugita, N., Inaba, M. & Ueda, K. Roosting pattern and reproductive cycle of Bonin flying foxes (Pteropus pselaphon). J. Mammal. 90, 195–202 (2009)."
Chiroptera,Pteropodidae,Madagascan flying fox,Pteropus rufus,677.91,112.54,574.41,71.04,16.716,0.912,16.332,0.645,67,82,67,82,"Calculated means and SDs from their raw dataset. The study is on babesial infection in this population but infection status was not found to affect body mass, so we included infected and uninfected individuals.","Ranaivoson, H. C. et al. Babesial infection in the Madagascan flying fox, Pteropus rufus É. Geoffroy, 1803. Parasites and Vectors 12, 1–13 (2019)."
Chiroptera,Pteropodidae,Madagascan rousette,Rousettus madagascariensis,64.6,6.85,56.8,6.54,7.53,0.22,7.3,0.204,271,289,271,286,"Sexually immature individuals and pregnant females were excluded, lactating females were included. Forearm length used for body length.","Goodman, S. M., Rajemison, F. I. & Lalarivoniaina, O. S. N. Morphometric patterns of secondary sexual dimorphism and seasonal differences in Rousettus madagascariensis from northern Madagascar. Acta Chiropterologica 19, 71–75 (2017)."
Chiroptera,Rhinolophidae,Cape horseshoe bat,Rhinolophus capensis,9.71,0.6,10.85,1.16,4.833,0.084,4.929,0.086,23,23,23,23,Only non-pregnant females were included and bats were sampled in late afternoon when guts were empty. Took values from the DeHoop population because it had the greatest sample sizes for each sex.,"Odendaal, L. J. & Jacobs, D. S. Morphological correlates of echolocation frequency in the endemic Cape horseshoe bat, Rhinolophus capensis (Chiroptera: Rhinolophidae). J. Comp. Physiol. A Neuroethol. Sensory, Neural, Behav. Physiol. 197, 435–446 (2011)."
Chiroptera,Rhinolophidae,Mediterranean horseshoe bat,Rhinolophus euryale,10.6,0.86,11.8,1.43,NA,NA,NA,NA,9,23,NA,NA,,"Russo, D., Jones, G. & Mucedda, M. Influence of age, sex and body size on echolocation calls of Mediterranean and Mehely’s horseshoe bats, Rhinolophus euryale and R. mehelyi (Chiroptera: Rhinolophidae). Mammalia 65, 429–436 (2001)."
Chiroptera,Rhinolophidae,Greater horseshoe bat,Rhinolophus ferrumequinum,17.88,1.88,22.69,3.54,5.828,0.147,5.946,0.091,31,77,31,77,"Used values from the Ji'an, China population as these had the largest sample size.","Jiang, T. et al. The patterns and possible causes of global geographical variation in the body size of the greater horseshoe bat (Rhinolophus ferrumequinum). J. Biogeogr. 46, 2363–2377 (2019)."
Chiroptera,Rhinolophidae,Lesser horseshoe bat,Rhinolophus hipposideros,6.55,0.48,6.57,0.73,38.03,0.54,39.01,0.67,19,14,19,14,,"Kohyt, J., Pierzcha_a, E., Koza, A. & Piksa, K. Resting frequency of echolocation calls within a lesser horseshoe bat population (southern Poland) and its relation to body size, condition and mass. Folia Biol. 70, 33–42 (2022)."
Chiroptera,Rhinolophidae,Philippine forest horseshoe bat,Rhinolophus inops,17,0.9,15,2,5.4,0.04,5.5,0.13,12,4,5,5,"Used values only from non-pregnant females (in text, pg. 33). Forearm length used for body length.","Bergallo, H. de G. Ecology of a small mammal community in an Atlantic Forest Area in Southeastern Brazil. Stud. Neotrop. Fauna Environ. 29, 197–217 (1994)."
Chiroptera,Rhinolophidae,Mehely's horseshoe bat,Rhinolophus mehelyi,13.1,0.58,13.4,0.62,NA,NA,NA,NA,10,18,NA,NA,,"Russo, D., Jones, G. & Mucedda, M. Influence of age, sex and body size on echolocation calls of Mediterranean and Mehely’s horseshoe bats, Rhinolophus euryale and R. mehelyi (Chiroptera: Rhinolophidae). Mammalia 65, 429–436 (2001)."
Chiroptera,Vespertilionidae,Western barbastelle,Barbastella barbastellus,8.16,0.4,8.7,0.21,3.904,0.038,3.937,0.129,21,6,NA,NA,Forearm length in used for body length.,"Toffoli, R., Culasso, P., Locatelli, A. G. & Giraudo, L. Bats of Alpi Marittime Nature Park (north west Italy) and site of community importance. Nat. Hist. Sci. 3, 3–13 (2016)."
Chiroptera,Vespertilionidae,Gould's wattled bat,Chalinolobus gouldii,13,1.8,15.3,1.8,3.904,0.038,3.937,0.129,365,201,365,201,"Used measures reported from the Mallee region in Victoria, Australia (highest sample size). Mass noted to vary seasonally. Forearm lengths used for body length.","Chruszcz, B. & Barclay, R. M. R. Chalinolobus gouldii. Mamm. Species 690, 1–4 (2002)."
Chiroptera,Vespertilionidae,New Zealand long-tailed bat,Chalinolobus tuberculatus,9.59,1.03,11.9,1.18,3.984,0.083,4.031,0.085,53,145,53,145,Body length is forearm length. Measurements wild-caught adults.,"Gillingham, N. J. The behaviour and ecology of long-tailed bats (Chalinolobus tuberculatus Gray) in the central North Island. (Massey University, 1996)."
Chiroptera,Vespertilionidae,Rafinesque's big-eared bat,Corynorhinus rafinesquii,10,0.52,10,0.46,NA,NA,NA,NA,17,16,NA,NA,"Sex break-down estimated from the total sample size given (33 bats) and proportion of data shown for females and males in figures (roughly half are males, and half females).","Johnson, J. S., Lacki, M. J., Thomas, S. C. & Grider, J. F. Frequent arousals from winter torpor in Rafinesque’s big-eared bat (Corynorhinus rafinesquii). PLoS One 7, (2012)."
Chiroptera,Vespertilionidae,Brazilian brown bat,Eptesicus brasiliensis,9.222222222,2.587362449,11.5,2.563479778,3.974,0.42,4.148,0.414,9,8,9,7,,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Chiroptera,Vespertilionidae,Diminutive serotine,Eptesicus diminutus,6.84,0.943398113,8.722222222,3.102286738,3.401,0.069,3.499,0.13,25,18,21,18,,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Chiroptera,Vespertilionidae,Argentine brown bat,Eptesicus furinalis,6.4375,1.781602409,8.548387097,1.404485901,3.743,0.13,3.723,0.176,8,31,4,29,,"Gonçalves, F. et al. Atlantic Mammal Traits: a data set of morphological traits of mammals in the Atlantic Forest of South America. Ecology 99, 498 (2018)."
Chiroptera,Vespertilionidae,Big brown bat,Eptesicus fuscus,17.67,2.98,19.98,2.81,4.77,0.216,4.764,0.114,10,9,10,9,Masses calculated from average measurements from each individual immediately before and after data collection on wild-caught adult bats from which metabolic data were taken over 2-3 days in the laboratory. Forearm length is used for body length.,"Simonis, M. C. Evaluating energy-based trait shifts and population level impacts of big brown bats (Eptesicus fuscus) with long-term exposure to Pseudogymnoascus destructans. (Wright State University, 2022)."
Chiroptera,Vespertilionidae,Serotine bat,Eptesicus serotinus,22.473,1.365,23.983,1.818,5.1245,0.1746,5.3467,0.1397,33,6,33,6,"Forearm length used for body length. Females are not pregnant at this time, it is the mating season but sperm is stored and gestation only starts in spring after hibernation.","Jaap van Schaik, pers. comm."
Chiroptera,Vespertilionidae,Pied Butterfly Bat,Glauconycteris superba,14.6,1.03,16.3,2.36,NA,NA,NA,NA,6,3,NA,NA,Females are a mix of lactating and nonlactating females. Calculated SD from raw data.,"Kiri, R. et al. Echolocation calls and flight behaviour of the elusive pied butterfly bat (Glauconycteris superba), and new data on its morphology and ecology. Acta Chiropterologica 18, 477–488 (2016)."
Chiroptera,Vespertilionidae,Savi's pipistrelle,Hypsugo savii,7.32,0.89,8.5,1.12,NA,NA,NA,NA,71,38,NA,NA,"This study looked at body mass variation across seasons. Seasonal variation was found, with dimorphism reducing in late summer, though females were larger across the year.","Rughetti, M. & Toffoli, R. Sex-specific seasonal change in body mass in two species of vespertilionid bats. Acta Chiropterologica 16, 149–155 (2014)."
